2024-03-15 05:44:20,157 - INFO - start!
2024-03-15 05:44:20,157 - INFO - Validating with data /home/ubuntu/jupyter-sandy/3D_ResNet/Data/pos_region_with_size_vox_inf_sample_size_5.pkl
2024-03-15 05:44:20,157 - INFO - writing to output csv test_accuracy_loss_with_size_for_pos_region_with_size_vox_inf_sample_size_5.csv
2024-03-15 05:44:24,331 - INFO - model pathmodel_after_training_2024-03-07_14-38-49.pth
2024-03-15 05:44:24,334 - INFO - -------------------------Processing patient PETCT_0af7ffe12a-----------------------------
2024-03-15 05:44:24,335 - INFO - test loss is N/A, test accuracy is N/A
2024-03-15 05:47:31,158 - INFO - start!
2024-03-15 05:47:31,158 - INFO - Validating with data /home/ubuntu/jupyter-sandy/3D_ResNet/Data/pos_region_with_size_vox_inf_sample_size_5.pkl
2024-03-15 05:47:31,158 - INFO - writing to output csv test_accuracy_loss_with_size_for_pos_region_with_size_vox_inf_sample_size_5.csv
2024-03-15 05:47:35,542 - INFO - model pathmodel_after_training_2024-03-07_14-38-49.pth
2024-03-15 05:47:35,551 - INFO - -------------------------Processing patient PETCT_0af7ffe12a-----------------------------
2024-03-15 05:47:35,552 - INFO - -------------------------Finished processing patient PETCT_0af7ffe12a-----------------------------
2024-03-15 05:47:35,552 - INFO - -------------------------Processing patient PETCT_0b57b247b6-----------------------------
2024-03-15 05:47:39,314 - INFO - test loss is 0.022967140132615426, test accuracy is 100.0
2024-03-15 05:47:39,314 - INFO - test loss is 0.022967140132615426, test accuracy is 100.0
2024-03-15 05:47:39,314 - INFO - test loss is 0.022967140132615426, test accuracy is 100.0
2024-03-15 05:47:39,314 - INFO - test loss is 0.022967140132615426, test accuracy is 100.0
2024-03-15 05:47:39,314 - INFO - test loss is 0.022967140132615426, test accuracy is 100.0
2024-03-15 05:47:39,314 - INFO - test loss is 0.022967140132615426, test accuracy is 100.0
2024-03-15 05:47:39,314 - INFO - test loss is 0.022967140132615426, test accuracy is 100.0
2024-03-15 05:47:39,314 - INFO - test loss is 0.022967140132615426, test accuracy is 100.0
2024-03-15 05:47:39,314 - INFO - test loss is 0.022967140132615426, test accuracy is 100.0
2024-03-15 05:47:39,314 - INFO - test loss is 0.022967140132615426, test accuracy is 100.0
